Site_Name,Site,Analytics_AccountID,Profile_Id,Site_Code
Sendit.com,MMAID,ga:9382746,9382746,NULL
zavvi,ZAVVI,ga:14014664,14014664,NULL
Zavvi Espana,ZAVES,ga:26462350,26462350,NULL
My Bag,MYBAG,ga:30994242,30994242,NULL
Allsole,ASOLE,ga:36856018,36856018,NULL
Zavvi Nederland,ZAINT,ga:35925690,35925690,NULL
Beauty Expert,BTEXP,ga:4929504,4929504,NULL
Mankind.co.uk,MNKND,ga:4929257,4929257,NULL
HQHair.com,HHAIR,ga:40940260,40940260,NULL
Hut International,HUT,ga:450233,450233,en
Myprotein DE,MYPRODE,ga:38155599,38155599,de
Myprotein UK,MYPRO,ga:773825,773825,en
Myprotein ES,MYPROES,ga:38156948,38156948,es
Myprotein FR,MYPROFR,ga:38156032,38156032,fr
Myprotein IE,MYPROIE,ga:38156239,38156239,ie
Myprotein IT,MYPROIT,ga:38156922,38156922,it
Look Fantastic Group,LF,ga:18809831,18809831,lfcom
Look Fantastic Group,LM,ga:20551564,20551564,lmcom
Look Fantastic.net,LFNET,ga:37306558,37306558,lfnet
Myvitamins,MYVIT,ga:57630908,57630908,en
Pro Bike Kit AU,PBKAU,ga:44115499,44115499,au
Pro Bike Kit CA,PBKCA,ga:44115399,44115399,ca
Pro Bike Kit UK,PBKEN,ga:5964962,5964962,en
Pro Bike Kit JA,PBKJA,ga:44117102,44117102,ja
Pro Bike Kit NZ,PBKNZ,ga:44116342,44116342,nz
Pro Bike Kit US,PBKUS,ga:44116717,44116717,us
Iwoot,IWOOT,ga:35805345,35805345,en
Exante Diet,EXANT,ga:25946044,25946044,NULL
Iwoot germany,IWOOTDE,ga:70581973,70581973,NULL
